DTXSID;Clasificacion_ATS;Masa_Molecular;Numero_Atomos_Pesados;H_Bond_Acceptors;H_Bond_Donors;Enlaces_Dobles;Enlaces_Triples;Carboxilo;Hidroxilo;LogP;SMILES
DTXSID8047553;Activo;563.9641218920001;34.0;1.0;1.0;1.0;0.0;0.0;0.0;6.351000000000003;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID8047890;Activo;256.14632988;19.0;2.0;2.0;0.0;0.0;0.0;0.0;4.040540000000003;CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1
DTXSID8048494;Inactivo;385.123797844;28.0;5.0;2.0;2.0;0.0;0.0;0.0;2.3767000000000005;OC(=O)C1=CN(C2=CC=C(F)C=C2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O
DTXSID8048521;Inactivo;555.3784550480001;40.0;7.0;0.0;2.0;0.0;0.0;0.0;4.607940000000005;CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC11CCN(CC1)C1(C)CCN(CC1)C(=O)C1=C(C)N=CN=C1C
DTXSID8051419;Activo;725.970576492;37.0;2.0;1.0;2.0;0.0;0.0;0.0;1.973000000000003;[I-].C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID8052148;Activo;369.07832696;26.0;5.0;2.0;3.0;0.0;0.0;0.0;4.1392000000000015;[O-][N+](=O)C1=CC(=CC=C1NC1=CC=CC=C1)S(=O)(=O)NC1=CC=CC=C1
DTXSID8059920;Inactivo;449.940688192;26.0;2.0;1.0;2.0;0.0;0.0;0.0;4.2058;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID8059926;Inactivo;239.985727864;15.0;2.0;2.0;2.0;0.0;0.0;0.0;1.0615;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(O)=O
DTXSID8059928;Inactivo;189.988921424;12.0;2.0;2.0;2.0;0.0;0.0;0.0;0.42619999999999997;OC(=O)C(F)(F)C(F)(F)C(O)=O
DTXSID8059970;Inactivo;163.989670372;10.0;1.0;1.0;1.0;0.0;0.0;0.0;1.2686;OC(=O)C(F)(F)C(F)(F)F
DTXSID8062101;Inactivo;532.0331092680001;33.0;2.0;0.0;2.0;0.0;0.0;0.0;6.505200000000004;CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID80881157;Inactivo;494.017459204;30.0;2.0;2.0;0.0;0.0;0.0;0.0;4.739100000000002;OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID90174941;Inactivo;257.992705064;16.0;2.0;0.0;2.0;0.0;0.0;0.0;2.2745999999999995;FC(F)(F)C(=O)CC(=O)C(F)(F)C(F)(F)F
DTXSID90190949;Activo;553.78978464;20.0;0.0;0.0;0.0;0.0;0.0;0.0;5.583200000000001;FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I
DTXSID9020087;Inactivo;148.088815004;11.0;1.0;0.0;1.0;0.0;0.0;0.0;2.728300000000001;COC1=CC=C(\C=C\C)C=C1
DTXSID9020089;Activo;273.9579792;16.0;4.0;1.0;0.0;0.0;0.0;0.0;3.5754;ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1
DTXSID9020110;Activo;458.248189832;34.0;5.0;1.0;0.0;0.0;0.0;0.0;5.351300000000005;COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1
DTXSID9020112;Inactivo;215.093773128;14.0;5.0;2.0;0.0;0.0;0.0;0.0;1.7770999999999997;CCNC1=NC(NC(C)C)=NC(Cl)=N1
DTXSID9020160;Activo;422.126042284;29.0;2.0;0.0;2.0;0.0;0.0;0.0;6.6624200000000044;CC1=C(C=CC=C1COC(=O)[C@@H]1[C@H](\C=C(/Cl)C(F)(F)F)C1(C)C)C1=CC=CC=C1
DTXSID9020164;Inactivo;259.90475376;9.0;2.0;2.0;0.0;0.0;0.0;0.0;0.7471999999999999;OCC(CO)(CBr)CBr
DTXSID9020168;Inactivo;141.995220236;7.0;1.0;0.0;0.0;0.0;0.0;0.0;1.4806;ClCCOCCCl
DTXSID9020241;Inactivo;305.199093724;22.0;3.0;2.0;2.0;0.0;0.0;0.0;3.7896000000000027;COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1
DTXSID9020243;Activo;298.93413253599994;16.0;3.0;0.0;3.0;0.0;0.0;0.0;2.9135000000000018;[H][C@@]12CC=CC[C@]1([H])C(=O)N(SC(Cl)(Cl)Cl)C2=O
DTXSID9020247;Activo;201.078978592;15.0;2.0;1.0;1.0;0.0;0.0;0.0;2.5580000000000007;CNC(=O)OC1=C2C=CC=CC2=CC=C1
DTXSID9020249;Inactivo;221.10519334;16.0;3.0;1.0;1.0;0.0;0.0;0.0;2.1183;CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2
DTXSID9020293;Activo;154.018542524;10.0;1.0;0.0;1.0;0.0;0.0;0.0;2.1081;ClCC(=O)C1=CC=CC=C1
DTXSID9020295;Inactivo;127.018876872;8.0;1.0;1.0;0.0;0.0;0.0;0.0;1.9222;NC1=CC=C(Cl)C=C1
DTXSID9020299;Activo;324.031999668;21.0;3.0;1.0;1.0;0.0;0.0;0.0;3.7924000000000024;CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
DTXSID9020370;Inactivo;160.084792244;11.0;3.0;2.0;2.0;0.0;0.0;0.0;-0.556;CN(C)NC(=O)CCC(O)=O
DTXSID9020374;Activo;315.938010976;18.0;0.0;0.0;1.0;0.0;0.0;0.0;6.187900000000003;ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
DTXSID9020407;Inactivo;304.101050162;19.0;6.0;0.0;1.0;0.0;0.0;0.0;3.5847200000000026;CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C
DTXSID9020409;Inactivo;278.109550448;22.0;0.0;0.0;0.0;0.0;0.0;0.0;6.299400000000004;C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
DTXSID9020451;Inactivo;240.166019768;16.0;1.0;2.0;1.0;0.0;0.0;0.0;3.1159000000000017;S=C(NC1CCCCC1)NC1CCCCC1
DTXSID9020453;Inactivo;377.870630956;19.0;1.0;0.0;1.0;0.0;0.0;0.0;4.481400000000002;ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl
DTXSID9020582;Activo;217.146664228;16.0;2.0;1.0;1.0;0.0;0.0;0.0;3.692700000000002;CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1
DTXSID9020617;Inactivo;164.083729624;12.0;2.0;1.0;1.0;0.0;0.0;0.0;2.1292999999999997;COC1=C(O)C=CC(CC=C)=C1
DTXSID9020663;Inactivo;92.047344116;6.0;3.0;3.0;0.0;0.0;0.0;0.0;-1.6681000000000001;OCC(O)CO
DTXSID9020740;Inactivo;357.0767856719999;25.0;4.0;1.0;2.0;0.0;0.0;0.0;3.9273200000000035;COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
DTXSID9020790;Inactivo;314.058910578;19.0;8.0;0.0;3.0;0.0;0.0;0.0;2.0054;CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC
DTXSID9020792;Inactivo;112.027277368;8.0;2.0;2.0;2.0;0.0;0.0;0.0;-0.9368000000000005;O=C1NNC(=O)C=C1
DTXSID9020794;Activo;264.879427292;11.0;4.0;2.0;2.0;0.0;0.0;0.0;-0.17330000000000018;[Mn++].[S-]C(=S)NCCNC([S-])=S
DTXSID9020827;Activo;344.01376276;21.0;2.0;0.0;0.0;0.0;0.0;0.0;5.205900000000002;COC1=CC=C(C=C1)C(C1=CC=C(OC)C=C1)C(Cl)(Cl)Cl
DTXSID9020877;Inactivo;142.07825032;11.0;0.0;0.0;0.0;0.0;0.0;0.0;3.148220000000001;CC1=C2C=CC=CC2=CC=C1
DTXSID9021134;Inactivo;152.040819256;10.0;1.0;2.0;1.0;0.0;0.0;0.0;1.3421;NC(=S)NC1=CC=CC=C1
DTXSID9021136;Inactivo;308.15247788;23.0;2.0;0.0;2.0;0.0;0.0;0.0;3.7878000000000025;CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1
DTXSID9021217;Inactivo;248.082874096;17.0;4.0;2.0;0.0;0.0;0.0;0.0;2.5238000000000005;CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1
DTXSID9021342;Activo;353.884261152;19.0;3.0;2.0;0.0;0.0;0.0;0.0;5.862600000000001;OC1=C(Cl)C=C(Cl)C=C1SC1=C(O)C(Cl)=CC(Cl)=C1
DTXSID9021390;Inactivo;145.9456832;6.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0713999999999997;ClCC(Cl)CCl
DTXSID9021392;Inactivo;149.10519334;10.0;4.0;3.0;0.0;0.0;0.0;0.0;-1.734699999999999;OCCN(CCO)CCO
DTXSID9021427;Inactivo;89.047678464;6.0;2.0;1.0;1.0;0.0;0.0;0.0;0.10160000000000025;CCOC(N)=O
DTXSID9021554;Inactivo;172.14632988;12.0;1.0;1.0;1.0;0.0;0.0;0.0;3.2117000000000013;CCCCCCCCCC(O)=O
DTXSID9021639;Inactivo;142.135765196;10.0;1.0;0.0;1.0;0.0;0.0;0.0;2.935900000000001;CCCCCCCCC=O
DTXSID9021689;Inactivo;156.187800768;11.0;0.0;0.0;0.0;0.0;0.0;0.0;4.537100000000004;CCCCCCCCCCC
DTXSID9021710;Inactivo;227.144077384;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06710000000000149;[Cl-].CC[N+](CC)(CC)CC1=CC=CC=C1
DTXSID9021716;Activo;229.885975404;11.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0058;OC1=C(Cl)C(Cl)=C(Cl)C=C1Cl
DTXSID9021847;Activo;170.07316494;13.0;1.0;0.0;0.0;0.0;0.0;0.0;3.478900000000002;O(C1=CC=CC=C1)C1=CC=CC=C1
DTXSID9021897;Inactivo;93.057849224;7.0;1.0;0.0;0.0;0.0;0.0;0.0;1.39002;CC1=CC=CN=C1
DTXSID9021928;Inactivo;132.078644244;9.0;3.0;0.0;1.0;0.0;0.0;0.0;0.5860000000000001;CCOCCOC(C)=O
DTXSID9021976;Inactivo;138.06807956;10.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0576999999999999;OCCOC1=CC=CC=C1
DTXSID9022310;Inactivo;254.0579088;19.0;4.0;2.0;1.0;0.0;0.0;0.0;2.871200000000001;OC1=CC=C(C=C1)C1=COC2=C(C=CC(O)=C2)C1=O
DTXSID9022312;Activo;206.167065324;15.0;1.0;1.0;0.0;0.0;0.0;0.0;4.295200000000005;CCCCCCCCC1=CC=C(O)C=C1
DTXSID9022360;Activo;206.167065324;15.0;1.0;1.0;0.0;0.0;0.0;0.0;4.106000000000003;CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1
DTXSID9022364;Inactivo;290.2245802;21.0;2.0;1.0;1.0;0.0;0.0;0.0;3.959100000000003;[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C
DTXSID9022366;Inactivo;288.172544628;21.0;3.0;3.0;0.0;0.0;0.0;0.0;2.5800000000000005;C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1C[C@@H](O)[C@@H]2O
DTXSID9022445;Inactivo;200.083729624;15.0;2.0;2.0;0.0;0.0;0.0;0.0;2.688600000000001;OC1=CC=C(CC2=CC=C(O)C=C2)C=C1
DTXSID9022520;Inactivo;176.083729624;13.0;2.0;0.0;2.0;0.0;0.0;0.0;2.2629;CCOC(=O)C=CC1=CC=CC=C1
DTXSID9022522;Activo;278.151809184;20.0;4.0;0.0;2.0;0.0;0.0;0.0;3.3122000000000025;CC(C)COC(=O)C1=C(C=CC=C1)C(=O)OCC(C)C
DTXSID9022524;Inactivo;258.0640568;19.0;4.0;1.0;4.0;0.0;0.0;0.0;0.08779999999999949;O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12
DTXSID9022528;Inactivo;166.06299418;12.0;3.0;1.0;1.0;0.0;0.0;0.0;1.5689;CCOC(=O)C1=CC=C(O)C=C1
DTXSID9022817;Inactivo;492.09039069999983;35.0;12.0;9.0;3.0;0.0;0.0;0.0;-1.1940800000000007;CC1=C2C(=O)C3=C(C(O)=C(O)C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3O)C(=O)C2=CC(O)=C1C(O)=O
DTXSID9023380;Inactivo;298.193280072;22.0;2.0;1.0;2.0;1.0;0.0;0.0;3.4925000000000024;[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
DTXSID9023881;Inactivo;302.012601616;20.0;4.0;0.0;0.0;0.0;0.0;0.0;3.9074000000000018;ClC1=CC=CC=C1C1=NN=C(N=N1)C1=C(Cl)C=CC=C1
DTXSID9023889;Inactivo;372.0876847040001;26.0;6.0;0.0;1.0;0.0;0.0;0.0;4.4059000000000035;CCOC(=O)C(C)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1
DTXSID9023914;Inactivo;237.076609242;15.0;5.0;0.0;3.0;0.0;0.0;0.0;1.3959;COP(=O)(OC)O\C(C)=C\C(=O)N(C)C
DTXSID9024063;Inactivo;122.07316494;9.0;1.0;1.0;0.0;0.0;0.0;0.0;2.00904;CC1=CC=CC(C)=C1O
DTXSID9024065;Inactivo;168.017106608;12.0;4.0;0.0;2.0;0.0;0.0;0.0;1.503;[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O
DTXSID9024194;Inactivo;214.039671892;14.0;2.0;1.0;1.0;0.0;0.0;0.0;2.5003200000000003;CC(OC1=C(C)C=C(Cl)C=C1)C(O)=O
DTXSID9024304;Inactivo;327.186814788;22.0;5.0;1.0;3.0;0.0;0.0;0.0;4.501900000000004;CCCC(=NOCC)C1=C(O)CC(CC(C)SCC)CC1=O
DTXSID9024431;Inactivo;133.056134972;8.0;3.0;1.0;1.0;0.0;0.0;0.0;1.5879999999999999;CSC(C)(C)C=NO
DTXSID9024485;Inactivo;180.035733876;12.0;4.0;1.0;0.0;0.0;0.0;0.0;1.8871;COC1=CC2=C(C=C1)N=C(N)S2
DTXSID9024489;Inactivo;123.068413908;9.0;2.0;2.0;0.0;0.0;0.0;0.0;1.2828199999999998;CC1=C(O)C=C(N)C=C1
DTXSID9024699;Activo;194.094294308;14.0;3.0;0.0;1.0;0.0;0.0;0.0;2.573500000000001;CC(C)(C)OOC(=O)C1=CC=CC=C1
DTXSID9024930;Activo;122.08439832;9.0;2.0;2.0;0.0;0.0;0.0;0.0;1.1594200000000001;CC1=CC=C(N)C(N)=C1
DTXSID9024986;Inactivo;285.962205856;17.0;2.0;0.0;2.0;0.0;0.0;0.0;3.826200000000002;ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1
DTXSID9025035;Inactivo;231.125928784;17.0;3.0;0.0;1.0;0.0;0.0;0.0;2.9476200000000015;CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1
DTXSID9025110;Inactivo;290.245709568;20.0;4.0;0.0;0.0;0.0;0.0;0.0;4.817200000000005;CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
DTXSID9025243;Activo;184.182715388;13.0;1.0;0.0;0.0;0.0;0.0;0.0;3.916000000000003;CCCCCCCCCCC1CO1
DTXSID9025293;Inactivo;144.115029752;10.0;1.0;1.0;1.0;0.0;0.0;0.0;2.2874;CCCCC(CC)C(O)=O
DTXSID9025297;Activo;184.14632988;13.0;2.0;0.0;2.0;0.0;0.0;0.0;2.9320000000000013;CCCCC(CC)COC(=O)C=C
DTXSID9025401;Activo;226.120509056;16.0;4.0;0.0;4.0;0.0;0.0;0.0;2.0052;C=CC(=O)OCCCCCCOC(=O)C=C
DTXSID9025453;Inactivo;130.099379688;9.0;2.0;0.0;1.0;0.0;0.0;0.0;1.5956000000000001;CC(C)CCOC(C)=O
DTXSID9026132;Inactivo;180.064725496;13.0;5.0;1.0;2.0;0.0;0.0;0.0;-1.0397;CN1C=NC2=C1C(=O)NC(=O)N2C
DTXSID9026261;Inactivo;427.88391167;20.0;4.0;0.0;1.0;0.0;0.0;0.0;4.682900000000003;ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl
